active;yes
titel;Remix
infoRow0;RE01;RE02;RE03;RE04;RE05;RE06;RE07;RE08;RE09;RE10;RE11;RE12;RE13;RE14;RE15;RE16;RE17;RE18;RE19;RE20;RE21;RE22;RE23;RE24;
infoRow1;28620;28619;27481;;;;;;;;;;;;;;;;;;;;;;
infoRow2;17724;17719;16639;;;;;;;;;;;;;;;;;;;;;;
